Source Path,Flywheel Path,Failed,Message
3DSP_pcasl_singleshot_2arms_Series0010,,,Begin import scan
/,davis/presurgicalEpilepsy/P006/ses-01/3DSP_pcasl_singleshot_2arms/files/3DSP_pcasl_singleshot_2arms.dicom.zip,false,
