Source Path,Flywheel Path,Failed,Message
3DSP_pcasl_singleshot_2arms_Series0006,,,Begin import scan
/,davis/presurgicalEpilepsy/P005/ses-01/3DSP_pcasl_singleshot_2arms/files/3DSP_pcasl_singleshot_2arms.dicom.zip,false,
